tid,name,usage_count,follower_count,canonical_term,match_type,confidence,final_disposition,canonical_tid
81417,Farm Workers Fair Labor Practices Act,2,15,Labor,keyword_match,medium,merge_to_canonical,7286.0
81418,Coronavirus Pandemic; COVID-19; Vernon Downs,2,2,COVID-19 Pandemic,semicolon_first_term_keyword,medium,merge_to_canonical,78756.0
81419,compost,2,15,,,,delete,
81420,ecology,1,2,,,,delete,
81421,Key Food,1,1,,,,delete,
81422,Grocery stores,9,12,,,,delete,
81423,Remote Work,1,14,,,,delete,
81424,cdc,4,24,,,,delete,
81427,NYS Public Commission,1,5,,,,delete,
81435,Boards of Elections,8,48,Elections,keyword_match,medium,merge_to_canonical,7011.0
81439,21st Century Antitrust Act,20,52,,,,delete,
81441,Coronavirus Pandemic; COVID-19; Childcare,3,14,COVID-19 Pandemic,semicolon_first_term_keyword,medium,merge_to_canonical,78756.0
81442,Resorts World,5,0,,,,delete,
81443,Coronavirus Pandemic; COVID-19; Reopening,6,19,COVID-19 Pandemic,semicolon_first_term_keyword,medium,merge_to_canonical,78756.0
81444,Malverne School District,1,0,Education,keyword_match,medium,merge_to_canonical,7001.0
81445,Coronavirus Pandemic; COVID-19; SUNY,2,7,COVID-19 Pandemic,semicolon_first_term_keyword,medium,merge_to_canonical,78756.0
81449,school reopening,5,34,Education,keyword_match,medium,merge_to_canonical,7001.0
81450,empire award,25,7,,,,delete,
81453,Investigation,11,55,,,,delete,
81454,Mask & Sanitizer Distribution,1,0,,,,delete,
81455,Mask and Sanitizer Distribution,1,2,,,,delete,
81456,Elul,2,0,,,,delete,
81457,Healthcare Workers,9,34,Health Care,keyword_match,medium,merge_to_canonical,7166.0
81458,Healthcare Heroes,6,16,Health Care,keyword_match,medium,merge_to_canonical,7166.0
8146,Brewery,5,50,,,,delete,
81460,Coronavirus; COVID-19; Hand Sanitizer; COVID-19 Testing,1,2,COVID-19 Pandemic,semicolon_first_term_seed,high,merge_to_canonical,78756.0
81461,Heroism,7,10,,,,delete,
81462,MTA Funding; West of Hudson; NJ Transit; Rockland County,2,4,MTA,semicolon_first_term_keyword,medium,merge_to_canonical,9222.0
81463,Hot Cars; Vehicle Safety; Child Safety,1,4,,,,delete,
81465,Vehicle Safety; Hot Car Deaths; Child Safety,1,1,,,,delete,
81466,Tropical Storm Isaias; Power Outages; Power Companies; Service,6,3,,,,delete,
81467,U.S. Army Corps of Engineers,2,2,,,,delete,
81468,Point Lookout,2,0,,,,delete,
81469,jetties,1,0,,,,delete,
81470,shoreline protection,1,1,,,,delete,
81471,NYS Senate Women of Distinction,3,0,Women of Distinction,keyword_match,medium,merge_to_canonical,8989.0
81472,Island Harvest,4,1,,,,delete,
81473,national banks,1,0,Finance,keyword_match,medium,merge_to_canonical,7081.0
81474,Gun Buy Back,1,33,Gun Control,keyword_match,medium,merge_to_canonical,7141.0
8151,Craft Beer,6,62,,,,delete,
81543,Trauma Informed Care; Mental Health; Substance Abuse; Essential Workers,2,18,,,,delete,
81544,sunset park,3,2,,,,delete,
81545,surcharges and fees,1,6,,,,delete,
81548,industry city rezoning,3,5,,,,delete,
81549,casinos,5,6,Gaming,keyword_match,medium,merge_to_canonical,7111.0
81550,senior programs,1,5,,,,delete,
81551,Johnson Fire Department,1,0,,,,delete,
81552,Suicide Prevention; COVID-19; Mental Health,3,14,Mental Health,semicolon_first_term_keyword,medium,merge_to_canonical,7346.0
81556,Village of Wallkill,1,0,,,,delete,
81557,Shawangunk,1,6,,,,delete,
81558,outdoor dining,2,4,,,,delete,
81559,Clothing Distribution,1,4,,,,delete,
8156,Job skill training,14,105,,,,delete,
81561,Hometown Hero,7,3,,,,delete,
81562,Boards of Education,3,46,Education,keyword_match,medium,merge_to_canonical,7001.0
81565,No Citizen is Above the Law Act,6,38,,,,delete,
81566,Presidential Immunity,3,9,,,,delete,
81568,Business Interruption Insurance Bill,1,5,Insurance,keyword_match,medium,merge_to_canonical,7236.0
81570,Manufactured Home Parks,3,1,State Parks & Recreation,keyword_match,medium,merge_to_canonical,
81571,Rent Increases,5,24,Tenant Rights,keyword_match,medium,merge_to_canonical,61615.0
81572,Huguenot Estates,2,0,,,,delete,
