bill_title,global_issues
2025-S6314,"Minority & Women-Owned Business"
2025-A1714A,"Taxes; Telecommunications"
2025-S6332,Agriculture
2025-S6340,Crime
2025-S6345,"Civil Rights"
2025-A6723,Elections
2025-A6728,"First Responders"
2025-S6354,"Local Government"
2025-S6374,"Minority & Women-Owned Business"
2025-S6382,"Disability Rights"
2025-S6392,"State Parks & Recreation; Environment"
2025-S6433,"Civil Service & Pensions"
2025-A6798,"Climate Change; Energy"
2025-A6822,"State Parks & Recreation"
2025-A6852,"Minimum Wage"
2025-A6861,"Opioid & Substance Use; Seniors"
2025-A1172A,"Reproductive Health"
2025-S6472,"Seniors; Taxes; Housing"
2025-S6477,"Opioid & Substance Use; Health Care"
2025-S6502,"Women's Health"
2025-S6527,Seniors
2025-S6537,"First Responders"
2025-S6539,"Small Business; Taxes"
2025-S6503,"Opioid & Substance Use"
2025-S6506,"Homelessness; Social Services"
2025-A6871,"Animal Welfare"
2025-S6559,"Taxes; Veterans"
2025-S6575,"Jobs & Employment; Labor"
2025-S6589,"COVID-19 Pandemic; Small Business"
2025-S6593,"Criminal Justice Reform"
2025-A6872,Agriculture
2025-A6903,"Libraries; Labor"
2025-A6984,"Veterans; Taxes"
2025-A6985,"Animal Welfare; Agriculture"
2025-A6977,Taxes
2025-A6934,"Veterans; Higher Education; Health Care"
2025-A6937,Gaming
2025-A7022,"Criminal Justice Reform; Judiciary"
2025-A6961,Libraries
2025-A7031,Housing
2025-S6630,"Minority & Women-Owned Business"
2025-S6643,"Nutrition; Social Services"
2025-S6644,"Consumer Protection"
2025-A6021A,"Developmental Disabilities"
2025-S6709,"Veterans; Civil Service & Pensions"
2025-A7055,"Civil Service & Pensions"
2025-A7045,"Mental Health; Opioid & Substance Use; Budget"
2025-A7077,"Taxes; Seniors"
2025-A7066,Taxes
2025-A7073,"Civil Service & Pensions"
2025-A7101,Elections
2025-A7118,Homelessness
2025-A7149,"Insurance; Health Care"
2025-A7153,"Health Care"
2025-A7170,"COVID-19 Pandemic; Children"
2025-A7200,"Health Care"
2025-S6750,"Domestic Violence; Civil Service & Pensions"
2025-A7231,"Consumer Protection"
2025-A7270,"Nutrition; Social Services"
2025-A7278,"Technology Policy; Civil Rights"
2025-A7279,"Seniors; State Parks & Recreation"
2025-S6774,Housing
2025-S6775,Labor
2025-S6784,"Data Privacy; Education"
2025-S1892A,"Criminal Justice Reform"
2025-S6814,"Public Safety"
2025-S6823,"Civil Service & Pensions"
2025-S6828,"Children; Consumer Protection"
2025-S3555A,"Insurance; Seniors"
2025-S880A,"Housing; Taxes"
2025-S6866,"Taxes; Economic Development"
2025-A7382,"Gun Control; State Parks & Recreation"
2025-A7383,"Civil Service & Pensions"
2025-A7410,Libraries
2025-S6884,"Education; Public Safety; Taxes"
2025-S6885,"Clean Water; Infrastructure"
2025-S6887,"Mental Health"
2025-S6915,Budget
2025-S6958,Housing
2025-S6962,"Developmental Disabilities"
2025-S7012,"Women's Health; Mental Health; Insurance"
2025-A7468,Judiciary
2025-A7487,"Local Government"
2025-A7490,Transportation
2025-A7500,"Opioid & Substance Use"
2025-A7506,Libraries
2025-S7044,"Civil Service & Pensions"
2025-S7047,"Voting Rights; Elections"
